datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9
13.09.2020;Integrationsratswahl;05515000;410;Mitte 1;1;1;7219;942;0;8161;1354;0;141;1213;173;288;242;206;76;34;158;17;19
13.09.2020;Integrationsratswahl;05515000;411;Mitte 2;1;1;6837;881;0;7718;1201;0;86;1115;181;258;214;184;77;35;125;15;26
13.09.2020;Integrationsratswahl;05515000;420;Nord;1;1;7483;477;0;7960;1057;0;93;964;177;220;146;108;84;60;113;32;24
13.09.2020;Integrationsratswahl;05515000;430;Ost;1;1;2483;272;0;2755;404;0;36;368;63;91;48;72;36;10;34;10;4
13.09.2020;Integrationsratswahl;05515000;440;Südost;1;1;4254;364;0;4618;592;0;48;544;82;104;102;89;35;19;92;8;13
13.09.2020;Integrationsratswahl;05515000;450;Hiltrup;1;1;6118;419;0;6537;750;0;88;662;128;147;115;102;46;20;84;6;14
13.09.2020;Integrationsratswahl;05515000;460;West;1;1;9537;882;0;10419;1520;0;153;1367;195;326;253;240;93;39;153;25;43
13.09.2020;Integrationsratswahl;05515000;490;Briefwahl Mitte 1;1;1;0;0;0;0;662;662;19;643;66;157;166;110;33;7;84;8;12
13.09.2020;Integrationsratswahl;05515000;491;Briefwahl Mitte 2;1;1;0;0;0;0;668;668;13;655;85;134;171;96;46;4;108;4;7
13.09.2020;Integrationsratswahl;05515000;492;Briefwahl Nord;1;1;0;0;0;0;382;382;7;375;36;128;85;30;19;3;63;7;4
13.09.2020;Integrationsratswahl;05515000;493;Briefwahl Ost;1;1;0;0;0;0;182;182;3;179;19;23;54;19;32;1;25;4;2
13.09.2020;Integrationsratswahl;05515000;494;Briefwahl Südost;1;1;0;0;0;0;263;263;4;259;35;38;92;29;10;0;47;1;7
13.09.2020;Integrationsratswahl;05515000;495;Briefwahl Hiltrup;1;1;0;0;0;0;310;310;6;304;41;46;74;50;21;4;58;4;6
13.09.2020;Integrationsratswahl;05515000;496;Briefwahl West;1;1;0;0;0;0;611;611;17;594;55;145;159;75;49;5;90;7;9
